nombre,ultimo,dif,maximo,minimo,fecha
,0,0,0,0,
ACCIONA,"159,5000","0,25","160,6000","157,7000",12/11/2021
ACERINOX,"11,0550","-1,99","11,3100","10,9500",12/11/2021
ACS,"23,1800","0,48","23,6100","22,7500",12/11/2021
AENA,"146,9500","-0,03","147,9000","145,7500",12/11/2021
ALMIRALL,"12,7100","0,16","12,7700","12,6000",12/11/2021
AMADEUS,"62,1400","-0,48","62,8200","61,5400",12/11/2021
ARCELORMIT.,"27,6300","-3,04","28,4800","27,3850",12/11/2021
B.SANTANDER,"3,1855","-1,07","3,2020","3,1635",12/11/2021
BA.SABADELL,"0,6794","-0,21","0,6844","0,6722",12/11/2021
BANKINTER,"4,9770","0,04","4,9770","4,9020",12/11/2021
BBVA,"6,1270","0,77","6,1860","6,0730",12/11/2021
CAIXABANK,"2,5040","-0,20","2,5160","2,4900",12/11/2021
CELLNEX,"54,3600","2,22","54,7000","53,0200",12/11/2021
CIE AUTOMOT.,"25,5000","2,00","25,5000","24,8000",12/11/2021
ENAGAS,"19,9300","-0,25","20,2500","19,8450",12/11/2021
ENDESA,"19,2000","-0,83","19,4150","19,0450",12/11/2021
FERROVIAL,"26,3500","-0,19","26,4500","26,2000",12/11/2021
FLUIDRA,"33,6500","0,45","33,7500","33,3000",12/11/2021
GRIFOLS CL.A,"18,2600","0,25","18,2850","18,0150",12/11/2021
IAG,"1,9330","-2,05","2,0000","1,9310",12/11/2021
IBERDROLA,"10,0700","-0,54","10,1000","10,0000",12/11/2021
INDITEX,"31,8000","0,09","31,9600","31,5800",12/11/2021
INDRA A,"10,9500","-1,26","11,1000","10,9300",12/11/2021
INM.COLONIAL,"8,4750","0,71","8,4950","8,3600",12/11/2021
MAPFRE,"1,9430","-0,79","1,9630","1,9395",12/11/2021
MELIA HOTELS,"6,3500","-2,40","6,5400","6,3140",12/11/2021
MERLIN,"9,7120","1,82","9,8000","9,4180",12/11/2021
NATURGY,"22,4700","-0,75","22,7600","22,3800",12/11/2021
PHARMA MAR,"61,0000","-2,80","63,0000","61,0000",12/11/2021
R.E.C.,"18,0200","0,22","18,0300","17,9050",12/11/2021
REPSOL,"10,8820","-2,40","11,1240","10,8680",12/11/2021
SIEMENS GAME,"22,1500","1,51","22,4500","21,8100",12/11/2021
SOLARIA,"16,2550","0,84","16,3950","16,0400",12/11/2021
TELEFONICA,"3,9600","0,38","3,9640","3,9235",12/11/2021
VISCOFAN,"58,3500","0,52","58,5000","57,8000",12/11/2021
